job_title;company_name;location;skills_required;experience_years_min;job_type;published_at;source_platform
Frontend Software Engineer (Angular/Ionic);Jublia;Indonesia;UI/UX Design, HTML+CSS, Javascript, iOS Development, jQuery, AngularJS, Android, Angular, Bootstrap, jQuery Mobile, iOS Design;1;Full-time;2026-06-05 06:35:47;Tech In Asia
Senior Software Engineer;Software International Corporation (M) Sdn Bhd;Malaysia;React.js, Java, Java J2EE;4;Full-time;2026-05-18 00:19:27;Tech In Asia
Mid Python Developer;PT Appfuxion Consulting Indonesia;Indonesia;Django, Python, SQL, NoSQL, APIs, MongoDB;3;Full-time;2026-06-17 07:58:10;Tech In Asia
Mid Java Developer;PT Appfuxion Consulting Indonesia;Indonesia;MySQL, Java, SQL Server, SQL, Object-oriented Programming (OOP), APIs;2;Full-time;2026-06-17 07:53:25;Tech In Asia
Java Developer;Indocyber Global Teknologi;Indonesia;Java, Software Engineering, Spring, Software Development;4;Contract;2026-06-17 03:16:04;Tech In Asia
Golang Developer - Banking Industry (Can Join Immediately);SIGMATECH;Indonesia;Amazon Web Services (AWS), Golang, SQL, NoSQL, PostgreSQL, Google Cloud Platform (GCP);3;Contract;2026-06-12 10:44:12;Tech In Asia
Machine Learning Engineer;ISIXI Private Limited;Indonesia;Python, RAG, Software Engineering, LLM, Artificial Intelligence (AI), Tensorflow, Embedded Systems;0;Full-time;2026-06-12 10:22:37;Tech In Asia
Fullstack Developer (Golang, React Js, Typescript) - English Speaker;SIGMATECH;Indonesia;React.js, TypeScript, Golang, Next.js;3;Full-time;2026-06-11 04:00:42;Tech In Asia
Solutions Engineer Intern;Ematic Solutions;Vietnam;MySQL, Javascript, PHP, Digital Marketing, Business Development, Communication Skills, Project Management;0;Internship;2026-06-10 10:22:39;Tech In Asia
IT Business Analyst (Treasury / Front Arena Banking Experience);PT Appfuxion Consulting Indonesia;Indonesia;Business Analysis, Risk Analysis, Test Cases, Business Requirement Gathering;3;Full-time;2026-06-10 06:52:14;Tech In Asia
DevOps;Gefami Services Indonesia;Indonesia;DevOps, Operating Systems, Linux System Administration;2;Contract;2026-06-09 09:20:17;Tech In Asia
Sr. Full-Stack AI Engineer [Influence ID];Playmakers;Indonesia;Flutter, Full-stack Web Development, TypeScript, DevOps, Zapier, Golang, Software Engineering, LLM, Docker, Vue.js, PostgreSQL, Software, Artificial Intelligence (AI), APIs, Software Testing, LangChain, Redis;2;Full-time;2026-06-08 13:14:10;Tech In Asia
Backend Developer;super-staff.ai;Indonesia;Backend Development, GraphQL, REST, Attention to Detail, Amazon Web Services (AWS), FastAPI, Django, SQL, Engineering, Software Engineering, PostgreSQL, Github, Communication Skills, Google Cloud Platform (GCP), MongoDB;1;Contract;2026-06-03 10:46:02;Tech In Asia
.NET Developer;Indocyber Global Teknologi;Indonesia;Flutter, ASP.NET, Dart, C#, .NET;2;Contract;2026-06-03 08:23:56;Tech In Asia
